,food,ndbList,ndbNumber,group,measures,name,nutrient_id,unit,value
20,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.00'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.00'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.00'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.00'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.00'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.00'}]",Vitamin B-12,418,µg,0.00
21,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '43'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '43'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '1265'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '80'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '34'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '78'}]","Vitamin A, RAE",320,µg,28
22,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '876'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '865'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '25707'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '1627'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '694'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '1593'}]","Vitamin A, IU",318,IU,569
23,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.08'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.08'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '2.26'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.14'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.06'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.14'}]",Vitamin E (alpha-tocopherol),323,mg,0.05
24,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.0'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.0'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.0'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.0'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.0'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.0'}]",Vitamin D (D2 + D3),328,µg,0.0
25,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}]",Vitamin D,324,IU,0
26,watermelon,0,09326,Vitamins,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.2'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.2'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '4.5'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.3'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.1'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.3'}]",Vitamin K (phylloquinone),430,µg,0.1
27,watermelon,0,09326,Lipids,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.025'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.024'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.723'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.046'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.020'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.045'}]","Fatty acids, total saturated",606,g,0.016
28,watermelon,0,09326,Lipids,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.057'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.056'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '1.672'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.106'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.045'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.104'}]","Fatty acids, total monounsaturated",645,g,0.037
29,watermelon,0,09326,Lipids,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.077'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.076'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '2.259'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.143'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.061'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.140'}]","Fatty acids, total polyunsaturated",646,g,0.050
30,watermelon,0,09326,Lipids,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.000'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.000'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.000'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.000'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0.000'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0.000'}]","Fatty acids, total trans",605,g,0.000
31,watermelon,0,09326,Lipids,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}]",Cholesterol,601,mg,0
32,watermelon,0,09326,Other,"[{'label': 'cup, balls', 'eqv': 154.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'cup, diced', 'eqv': 152.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'melon (15"" long x 7-1/2"" dia)', 'eqv': 4518.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'wedge (approx 1/16 of melon)', 'eqv': 286.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}, {'label': 'watermelon balls', 'eqv': 122.0, 'eunit': 'g', 'qty': 10.0, 'value': '0'}, {'label': 'NLEA serving', 'eqv': 280.0, 'eunit': 'g', 'qty': 1.0, 'value': '0'}]",Caffeine,262,mg,0
33,cantaloupe,0,09181,Proximates,"[{'label': 'cup, balls', 'eqv': 177.0, 'eunit': 'g', 'qty': 1.0, 'value': '159.57'}, {'label': 'cup, cubes', 'eqv': 160.0, 'eunit': 'g', 'qty': 1.0, 'value': '144.24'}, {'label': 'cup, diced', 'eqv': 156.0, 'eunit': 'g', 'qty': 1.0, 'value': '140.63'}, {'label': 'melon, large (about 6-1/2"" dia)', 'eqv': 814.0, 'eunit': 'g', 'qty': 1.0, 'value': '733.82'}, {'label': 'wedge, large (1/8 of large melon)', 'eqv': 102.0, 'eunit': 'g', 'qty': 1.0, 'value': '91.95'}, {'label': 'melon, medium (about 5"" dia)', 'eqv': 552.0, 'eunit': 'g', 'qty': 1.0, 'value': '497.63'}, {'label': 'wedge, medium (1/8 of medium melon)', 'eqv': 69.0, 'eunit': 'g', 'qty': 1.0, 'value': '62.20'}, {'label': 'melon, small (about 4-1/4"" dia)', 'eqv': 441.0, 'eunit': 'g', 'qty': 1.0, 'value': '397.56'}, {'label': 'wedge, small (1/8 of small melon)', 'eqv': 55.0, 'eunit': 'g', 'qty': 1.0, 'value': '49.58'}, {'label': 'cantaloupe balls', 'eqv': 138.0, 'eunit': 'g', 'qty': 10.0, 'value': '124.41'}, {'label': 'NLEA serving', 'eqv': 134.0, 'eunit': 'g', 'qty': 1.0, 'value': '120.80'}]",Water,255,g,90.15
